call_site	compose_style	compose_name	auto_mirrored	material_symbols_name	glyph_file	resolution	codepoint	auto_mirror_flag_in_code	svg_variant	upstream_svg_url
Outlined/Notifications	Outlined	Notifications	false	notifications	notifications	direct	e7f5	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/notifications/materialsymbolsrounded/notifications_24px.svg
Outlined/NotificationsActive	Outlined	NotificationsActive	false	notifications_active	notifications_active	direct	e7f7	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/notifications_active/materialsymbolsrounded/notifications_active_24px.svg
Outlined/NotificationsOff	Outlined	NotificationsOff	false	notifications_off	notifications_off	direct	e7f6	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/notifications_off/materialsymbolsrounded/notifications_off_24px.svg
Outlined/OfflineBolt	Outlined	OfflineBolt	false	offline_bolt	offline_bolt	direct	e932	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/offline_bolt/materialsymbolsrounded/offline_bolt_24px.svg
Outlined/OpenInNew	Outlined	OpenInNew	false	open_in_new	open_in_new	direct	e89e	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/open_in_new/materialsymbolsrounded/open_in_new_24px.svg
Outlined/Palette	Outlined	Palette	false	palette	palette	direct	e40a	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/palette/materialsymbolsrounded/palette_24px.svg
Outlined/Pause	Outlined	Pause	false	pause	pause	direct	e034	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/pause/materialsymbolsrounded/pause_24px.svg
Outlined/Person	Outlined	Person	false	person	person	direct	f0d3	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/person/materialsymbolsrounded/person_24px.svg
Outlined/Photo	Outlined	Photo	false	photo	photo	direct	e693	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/photo/materialsymbolsrounded/photo_24px.svg
Outlined/PlayArrow	Outlined	PlayArrow	false	play_arrow	play_arrow	direct	e037	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/play_arrow/materialsymbolsrounded/play_arrow_24px.svg
Outlined/PlayCircle	Outlined	PlayCircle	false	play_circle	play_circle	direct	e1c4	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/play_circle/materialsymbolsrounded/play_circle_24px.svg
Outlined/PlaylistAdd	Outlined	PlaylistAdd	false	playlist_add	playlist_add	direct	e03b	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/playlist_add/materialsymbolsrounded/playlist_add_24px.svg
Outlined/PlaylistAddCheck	Outlined	PlaylistAddCheck	false	playlist_add_check	playlist_add_check	direct	e065	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/playlist_add_check/materialsymbolsrounded/playlist_add_check_24px.svg
Outlined/PlaylistPlay	Outlined	PlaylistPlay	false	playlist_play	playlist_play	direct	e05f	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/playlist_play/materialsymbolsrounded/playlist_play_24px.svg
Outlined/Print	Outlined	Print	false	print	print	direct	e8ad	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/print/materialsymbolsrounded/print_24px.svg
Outlined/PrintDisabled	Outlined	PrintDisabled	false	print_disabled	print_disabled	direct	e9cf	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/print_disabled/materialsymbolsrounded/print_disabled_24px.svg
Outlined/PrivacyTip	Outlined	PrivacyTip	false	privacy_tip	privacy_tip	direct	f0dc	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/privacy_tip/materialsymbolsrounded/privacy_tip_24px.svg
Outlined/Public	Outlined	Public	false	public	public	direct	e80b	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/public/materialsymbolsrounded/public_24px.svg
Outlined/Refresh	Outlined	Refresh	false	refresh	refresh	direct	e5d5	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/refresh/materialsymbolsrounded/refresh_24px.svg
Outlined/RemoveDone	Outlined	RemoveDone	false	remove_done	remove_done	direct	e9d3	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/remove_done/materialsymbolsrounded/remove_done_24px.svg
Outlined/RestartAlt	Outlined	RestartAlt	false	restart_alt	restart_alt	direct	f053	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/restart_alt/materialsymbolsrounded/restart_alt_24px.svg
Outlined/Restore	Outlined	Restore	false	restore	history	alias->history	e8b3	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/history/materialsymbolsrounded/history_24px.svg
