call_site	compose_style	compose_name	auto_mirrored	material_symbols_name	glyph_file	resolution	codepoint	auto_mirror_flag_in_code	svg_variant	upstream_svg_url
Outlined/ToggleOn	Outlined	ToggleOn	false	toggle_on	toggle_on	direct	e9f6	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/toggle_on/materialsymbolsrounded/toggle_on_24px.svg
Outlined/TouchApp	Outlined	TouchApp	false	touch_app	touch_app	direct	e913	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/touch_app/materialsymbolsrounded/touch_app_24px.svg
Outlined/Translate	Outlined	Translate	false	translate	translate	direct	e8e2	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/translate/materialsymbolsrounded/translate_24px.svg
Outlined/Tune	Outlined	Tune	false	tune	tune	direct	e429	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/tune/materialsymbolsrounded/tune_24px.svg
Outlined/UnfoldMore	Outlined	UnfoldMore	false	unfold_more	unfold_more	direct	e5d7	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/unfold_more/materialsymbolsrounded/unfold_more_24px.svg
Outlined/Update	Outlined	Update	false	update	update	direct	e923	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/update/materialsymbolsrounded/update_24px.svg
Outlined/UpdateDisabled	Outlined	UpdateDisabled	false	update_disabled	update_disabled	direct	e075	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/update_disabled/materialsymbolsrounded/update_disabled_24px.svg
Outlined/Verified	Outlined	Verified	false	verified	verified	direct	ef76	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/verified/materialsymbolsrounded/verified_24px.svg
Outlined/VerticalSplit	Outlined	VerticalSplit	false	vertical_split	vertical_split	direct	e949	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/vertical_split/materialsymbolsrounded/vertical_split_24px.svg
Outlined/VideoFile	Outlined	VideoFile	false	video_file	video_file	direct	eb87	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/video_file/materialsymbolsrounded/video_file_24px.svg
Outlined/VideoLibrary	Outlined	VideoLibrary	false	video_library	video_library	direct	e04a	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/video_library/materialsymbolsrounded/video_library_24px.svg
Outlined/VideoSettings	Outlined	VideoSettings	false	video_settings	video_settings	direct	ea75	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/video_settings/materialsymbolsrounded/video_settings_24px.svg
Outlined/ViewAgenda	Outlined	ViewAgenda	false	view_agenda	view_agenda	direct	e8e9	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/view_agenda/materialsymbolsrounded/view_agenda_24px.svg
Outlined/Visibility	Outlined	Visibility	false	visibility	visibility	direct	e8f4	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/visibility/materialsymbolsrounded/visibility_24px.svg
Outlined/VisibilityOff	Outlined	VisibilityOff	false	visibility_off	visibility_off	direct	e8f5	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/visibility_off/materialsymbolsrounded/visibility_off_24px.svg
Outlined/VolunteerActivism	Outlined	VolunteerActivism	false	volunteer_activism	volunteer_activism	direct	ea70	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/volunteer_activism/materialsymbolsrounded/volunteer_activism_24px.svg
Outlined/Warning	Outlined	Warning	false	warning	warning	direct	f083	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/warning/materialsymbolsrounded/warning_24px.svg
Outlined/WarningAmber	Outlined	WarningAmber	false	warning_amber	warning	alias->warning	f083	false	24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/warning/materialsymbolsrounded/warning_24px.svg
